Topic 0;Topic 1;Topic 2;Topic 3;Topic 4;Topic 5
0.0;0.0;0.0;0.0;0.0;0.9949400424957275
0.0;0.8839588165283203;0.10969042778015137;0.0;0.0;0.0
0.0;0.0;0.9962528347969055;0.0;0.0;0.0
0.0;0.0;0.37124669551849365;0.6239185929298401;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.9914252758026123
0.0;0.0;0.9926449060440063;0.0;0.0;0.0
0.0;0.0;0.9929428696632385;0.0;0.0;0.0
0.0;0.0;0.0;0.9952220320701599;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.994321882724762
0.0;0.0;0.9844629168510437;0.0;0.0;0.0
0.0;0.0;0.7973358035087585;0.19475562870502472;0.0;0.0
0.0;0.0;0.3920258581638336;0.0;0.6029958128929138;0.0
0.0;0.9947808384895325;0.0;0.0;0.0;0.0
0.0;0.06183065101504326;0.0;0.9340656399726868;0.0;0.0
0.0;0.9887809157371521;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.9947829842567444
0.0;0.0;0.0;0.0;0.8165301084518433;0.17865723371505737
0.0;0.0;0.0;0.0;0.9930211305618286;0.0
0.0;0.0;0.0;0.0;0.0;0.9896066188812256
0.994968831539154;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.9966484308242798
0.9924176335334778;0.0;0.0;0.0;0.0;0.0
0.0;0.24993005394935608;0.0;0.0;0.0;0.7456434369087219
0.0;0.0;0.0;0.9941989183425903;0.0;0.0
0.05594997853040695;0.05573471635580063;0.721156895160675;0.05556263029575348;0.05603300407528877;0.05556279048323631
0.0;0.0;0.0;0.0;0.0;0.9962319731712341
0.0;0.9474670886993408;0.0;0.04740091785788536;0.0;0.0
0.0;0.0;0.9969353675842285;0.0;0.0;0.0
0.0;0.0;0.0;0.9872392416000366;0.0;0.0
0.0;0.0;0.0;0.9980149269104004;0.0;0.0
0.0;0.0;0.0;0.9898512959480286;0.0;0.0
0.9970952868461609;0.0;0.0;0.0;0.0;0.0
0.0;0.128117635846138;0.0;0.07974859327077866;0.0;0.7899271249771118
0.0;0.0;0.34006422758102417;0.0;0.0;0.6525325775146484
0.0;0.0;0.0;0.0;0.9903255701065063;0.0
0.0;0.0;0.9929298162460327;0.0;0.0;0.0
0.0;0.9946848154067993;0.0;0.0;0.0;0.0
0.0;0.0;0.9965111017227173;0.0;0.0;0.0
0.9931689500808716;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.9935368895530701;0.0;0.0
0.0;0.9868831038475037;0.0;0.0;0.0;0.0
0.0;0.0;0.9953157305717468;0.0;0.0;0.0
0.0;0.0;0.0;0.9918996691703796;0.0;0.0
0.0;0.0;0.0;0.0;0.9975626468658447;0.0
0.016067063435912132;0.0;0.0;0.7234169244766235;0.0;0.2574341297149658
0.0;0.9932408332824707;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.9923187494277954
0.0;0.0;0.6372805833816528;0.0;0.35168641805648804;0.0
0.0;0.0;0.0;0.9912275075912476;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.9924387335777283
0.0;0.9893922209739685;0.0;0.0;0.0;0.0
0.0;0.9948377013206482;0.0;0.0;0.0;0.0
